playerID,awardID,yearID,lgID,tie,notes
judgeaa01,Most Valuable Player,2022,AL,,
goldspa01,Most Valuable Player,2022,NL,,
verlaju01,Cy Young Award,2022,AL,,
alcansa01,Cy Young Award,2022,NL,,
rodriju01,Rookie of the Year,2022,AL,,
harrimi04,Rookie of the Year,2022,NL,,
penaje02,World Series MVP,2022,NL,,
gimenan01,Gold Glove,2022,AL,,
lemahdj01,Gold Glove,2022,AL,,
penaje02,Gold Glove,2022,AL,,
trevijo01,Gold Glove,2022,AL,,
tuckeky01,Gold Glove,2022,AL,,
strawmy01,Gold Glove,2022,AL,,
uriasra01,Gold Glove,2022,AL,,
biebesh01,Gold Glove,2022,AL,,
kwanst01,Gold Glove,2022,AL,,
guerrvl02,Gold Glove,2022,AL,,
donovbr01,Gold Glove,2022,NL,,
rodgebr02,Gold Glove,2022,NL,,
walkech02,Gold Glove,2022,NL,,
swansda01,Gold Glove,2022,NL,,
happia01,Gold Glove,2022,NL,,
realmjt01,Gold Glove,2022,NL,,
friedma01,Gold Glove,2022,NL,,
bettsmo01,Gold Glove,2022,NL,,
arenano01,Gold Glove,2022,NL,,
grishtr01,Gold Glove,2022,NL,,
judgeaa01,Silver Slugger,2022,AL,,
kirkal01,Silver Slugger,2022,AL,,
altuvjo01,Silver Slugger,2022,AL,,
ramirjo01,Silver Slugger,2022,AL,,
rodriju01,Silver Slugger,2022,AL,,
arraelu01,Silver Slugger,2022,AL,,
troutmi01,Silver Slugger,2022,AL,,
lowena01,Silver Slugger,2022,AL,,
bogaexa01,Silver Slugger,2022,AL,,
alvaryo01,Silver Slugger,2022,AL,,
drurybr01,Silver Slugger,2022,NL,,
realmjt01,Silver Slugger,2022,NL,,
mcneije01,Silver Slugger,2022,NL,,
belljo02,Silver Slugger,2022,NL,,
sotoju01,Silver Slugger,2022,NL,,
schwaky01,Silver Slugger,2022,NL,,
bettsmo01,Silver Slugger,2022,NL,,
arenano01,Silver Slugger,2022,NL,,
goldspa01,Silver Slugger,2022,NL,,
turnetr01,Silver Slugger,2022,NL,,
ohtansh01,Most Valuable Player,2023,AL,,
acunaro01,Most Valuable Player,2023,NL,,
colege01,Cy Young Award,2023,AL,,
snellbl01,Cy Young Award,2023,NL,,
hendegu01,Rookie of the Year,2023,AL,,
carroco02,Rookie of the Year,2023,NL,,
seageco01,World Series MVP,2023,NL,,
garciad02,Gold Glove,2023,AL,,
gimenan01,Gold Glove,2023,AL,,
volpean01,Gold Glove,2023,AL,,
heimjo01,Gold Glove,2023,AL,,
berrijo01,Gold Glove,2023,AL,,
kiermke01,Gold Glove,2023,AL,,
chapmma01,Gold Glove,2023,AL,,
dubonma01,Gold Glove,2023,AL,,
lowena01,Gold Glove,2023,AL,,
kwanst01,Gold Glove,2023,AL,,
doylebr02,Gold Glove,2023,NL,,
walkech02,Gold Glove,2023,NL,,
swansda01,Gold Glove,2023,NL,,
tatisfe02,Gold Glove,2023,NL,,
morenga01,Gold Glove,2023,NL,,
kimha01,Gold Glove,2023,NL,,
happia01,Gold Glove,2023,NL,,
hayeske01,Gold Glove,2023,NL,,
hoernni01,Gold Glove,2023,NL,,
wheelza01,Gold Glove,2023,NL,,
rutscad01,Silver Slugger,2023,AL,,
seageco01,Silver Slugger,2023,AL,,
hendegu01,Silver Slugger,2023,AL,,
rodriju01,Silver Slugger,2023,AL,,
tuckeky01,Silver Slugger,2023,AL,,
roberlu01,Silver Slugger,2023,AL,,
semiema01,Silver Slugger,2023,AL,,
deverra01,Silver Slugger,2023,AL,,
ohtansh01,Silver Slugger,2023,AL,,
diazya01,Silver Slugger,2023,AL,,
rileyau01,Silver Slugger,2023,NL,,
harpebr03,Silver Slugger,2023,NL,,
bellico01,Silver Slugger,2023,NL,,
lindofr01,Silver Slugger,2023,NL,,
sotoju01,Silver Slugger,2023,NL,,
arraelu01,Silver Slugger,2023,NL,,
olsonma02,Silver Slugger,2023,NL,,
bettsmo01,Silver Slugger,2023,NL,,
acunaro01,Silver Slugger,2023,NL,,
contrwi02,Silver Slugger,2023,NL,,
judgeaa01,Most Valuable Player,2024,AL,,
ohtansh01,Most Valuable Player,2024,NL,,
skubata01,Cy Young Award,2024,AL,,
salech01,Cy Young Award,2024,NL,,
gillu01,Rookie of the Year,2024,AL,,
skenepa01,Rookie of the Year,2024,NL,,
freemfr01,World Series MVP,2024,NL,,
bregmal01,Gold Glove,2024,AL,,
gimenan01,Gold Glove,2024,AL,,
wittbo02,Gold Glove,2024,AL,,
raleica01,Gold Glove,2024,AL,,
santaca01,Gold Glove,2024,AL,,
varshda01,Gold Glove,2024,AL,,
mooredy01,Gold Glove,2024,AL,,
lugose01,Gold Glove,2024,AL,,
kwanst01,Gold Glove,2024,AL,,
abreuwi02,Gold Glove,2024,AL,,
doylebr02,Gold Glove,2024,NL,,
turanbr02,Gold Glove,2024,NL,,
salech01,Gold Glove,2024,NL,,
walkech02,Gold Glove,2024,NL,,
tovarez01,Gold Glove,2024,NL,,
happia01,Gold Glove,2024,NL,,
triolja01,Gold Glove,2024,NL,,
chapmma01,Gold Glove,2024,NL,,
bailepa01,Gold Glove,2024,NL,,
frelisa01,Gold Glove,2024,NL,,
judgeaa01,Silver Slugger,2024,AL,,
santaan02,Silver Slugger,2024,AL,,
wittbo02,Silver Slugger,2024,AL,,
rookebr01,Silver Slugger,2024,AL,,
altuvjo01,Silver Slugger,2024,AL,,
smithjo09,Silver Slugger,2024,AL,,
ramirjo01,Silver Slugger,2024,AL,,
sotoju01,Silver Slugger,2024,AL,,
perezsa02,Silver Slugger,2024,AL,,
guerrvl02,Silver Slugger,2024,AL,,
harpebr03,Silver Slugger,2024,NL,,
lindofr01,Silver Slugger,2024,NL,,
merrija01,Silver Slugger,2024,NL,,
profaju01,Silver Slugger,2024,NL,,
marteke01,Silver Slugger,2024,NL,,
machama01,Silver Slugger,2024,NL,,
bettsmo01,Silver Slugger,2024,NL,,
ohtansh01,Silver Slugger,2024,NL,,
hernate01,Silver Slugger,2024,NL,,
