playerID,nameFirst,nameLast,bbrefID,mlbamID,pos
actonga01,Garrett,Acton,actonga01,670183,P
boylejo01,Joe,Boyle,boylejo01,671212,P
butlela01,Lawrence,Butler,butlela01,671732,RF
erceglu01,Lucas,Erceg,erceglu01,668674,P
estesjo01,Joey,Estes,estesjo01,683155,P
felipan01,Angel,Felipe,felipan01,665734,P
fujinsh01,Shintaro,Fujinami,fujinsh01,660261,P
gelofza01,Zack,Gelof,gelofza01,680869,2B
harriho03,Hogan,Harris,harriho03,663687,P
lucasea01,Easton,Lucas,lucasea01,687922,P
medinlu02,Luis,Medina,medinlu02,665622,P
millema03,Mason,Miller,millema03,695243,P
nodary01,Ryan,Noda,nodary01,676116,1B
soderty01,Tyler,Soderstrom,soderty01,691016,LF
sweetde01,Devin,Sweet,sweetde01,682967,P
bidoos01,Osvaldo,Bido,bidoos01,674370,P
boltoco01,Cody,Bolton,boltoco01,675989,P
davishe01,Henry,Davis,davishe01,680779,C
gonzani01,Nick,Gonzales,gonzani01,693304,2B
hernajo03,Jose,Hernandez,hernajo03,669796,P
maggidr01,Drew,Maggi,maggidr01,543482,3B
mlodzca01,Carmen,Mlodzinski,mlodzca01,669387,P
nicolky01,Kyle,Nicolas,nicolky01,693312,P
priesqu01,Quinn,Priester,priesqu01,682990,P
rodrien01,Endy,Rodríguez,rodrien01,682848,C
selbyco01,Colin,Selby,selbyco01,681882,P
strathu01,Hunter,Stratton,strathu01,676702,P
triolja01,Jared,Triolo,triolja01,669707,3B
willial04,Alika,Williams,willial04,675961,SS
cosgrto01,Tom,Cosgrove,cosgrto01,676680,P
espadjo01,Jose,Espada,espadjo01,664744,P
hernani01,Nick,Hernandez,hernani01,663321,P
jacobal01,Alek,Jacob,jacobal01,689690,P
kohlwta01,Taylor,Kohlwey,kohlwta01,670128,RF
seaglch01,Chandler,Seagle,seaglch01,676882,C
sullibr01,Brett,Sullivan,sullibr01,664954,C
waldrma01,Matt,Waldron,waldrma01,663362,P
wolfja01,Jackson,Wolf,wolfja01,680232,P
adcocty01,Ty,Adcock,adcocty01,686654,P
berropr01,Prelander,Berroa,berropr01,672860,P
cabaljo01,José,Caballero,cabaljo01,676609,SS
campbis01,Isaiah,Campbell,campbis01,663462,P
canzodo01,Dominic,Canzone,canzodo01,686527,DH
hancoem01,Emerson,Hancock,hancoem01,676106,P
marloca01,Cade,Marlowe,marloca01,687799,LF
millebr04,Bryce,Miller,millebr04,682243,P
ryanry01,Ryder,Ryan,ryanry01,656924,P
thenju01,Juan,Then,thenju01,672730,P
woobr01,Bryan,Woo,woobr01,693433,P
bailepa01,Patrick,Bailey,bailepa01,672275,C
becktr01,Tristan,Beck,becktr01,663941,P
fitzgty01,Tyler,Fitzgerald,fitzgty01,666149,SS
harriky01,Kyle,Harrison,harriky01,690986,P
