yearID,teamID,playerID,first,last,games
2022,WAS,abbotco01,2022-06-19,2022-10-04,16
2022,SDN,abramcj01,2022-04-08,2022-08-01,46
2022,WAS,abramcj01,2022-08-15,2022-10-04,44
2022,TEX,abreual01,2022-04-11,2022-05-28,7
2022,KCA,abreual01,2022-06-05,2022-06-12,4
2022,NYA,abreual01,2022-06-23,2022-10-05,22
2022,HOU,abreubr01,2022-04-08,2022-10-05,55
2022,CHA,abreujo02,2022-04-08,2022-10-04,157
2022,OAK,acevedo01,2022-04-08,2022-10-04,70
2022,ATL,acunaro01,2022-04-28,2022-10-04,119
2022,SDN,adamsau02,2022-04-10,2022-04-12,2
2022,TBA,adamja01,2022-04-10,2022-09-28,67
2022,WAS,adamsri03,2022-04-09,2022-10-04,48
2022,MIL,adamewi01,2022-04-07,2022-10-05,139
2022,ANA,adelljo01,2022-04-07,2022-10-05,88
2022,WAS,adonjo01,2022-04-09,2022-07-07,14
2022,WAS,adriaeh01,2022-06-07,2022-07-31,31
2022,ATL,adriaeh01,2022-08-06,2022-10-05,6
2022,MIA,aguilje01,2022-04-08,2022-08-24,113
2022,BAL,aguilje01,2022-09-01,2022-10-05,16
2022,ANA,aguilry01,2022-08-26,2022-09-05,7
2022,ARI,ahmedni01,2022-04-22,2022-05-15,17
2022,BAL,akinke01,2022-04-09,2022-10-05,45
2022,LAN,alberha01,2022-04-10,2022-10-05,73
2022,ATL,albieoz01,2022-04-07,2022-09-17,64
2022,MIN,alcaljo01,2022-04-08,2022-04-10,2
2022,MIA,alcansa01,2022-04-08,2022-09-30,32
2022,ARI,alcanse01,2022-04-07,2022-10-05,71
2022,SDN,alcanse01,2022-05-15,2022-06-29,22
2022,TEX,alexyaj01,2022-07-15,2022-09-12,4
2022,MIL,alexaja01,2022-06-01,2022-09-18,18
2022,SFN,alexasc01,2022-08-28,2022-10-02,17
2022,DET,alexaty01,2022-04-12,2022-10-05,27
2022,SDN,alfarjo01,2022-04-08,2022-10-05,82
2022,PIT,alforan01,2022-04-22,2022-04-23,2
2022,TEX,allarko01,2022-04-12,2022-10-04,10
2022,PIT,alldrca01,2022-05-12,2022-05-12,1
2022,OAK,allenau01,2022-04-10,2022-04-30,5
2022,PIT,allengr01,2022-07-23,2022-09-24,46
2022,CLE,allenlo01,2022-04-11,2022-04-27,4
2022,BAL,allenlo01,2022-05-11,2022-05-15,3
2022,OAK,allenni02,2022-04-19,2022-10-05,100
2022,BOS,almonab01,2022-09-07,2022-10-05,15
2022,CIN,almoral01,2022-05-05,2022-09-06,64
2022,LAN,almonye01,2022-05-12,2022-10-05,33
2022,NYN,alonspe01,2022-04-07,2022-10-04,160
2022,HOU,altuvjo01,2022-04-07,2022-10-04,141
2022,LAN,alvared01,2022-06-04,2022-06-29,14
2022,NYN,alvarfr01,2022-09-30,2022-10-05,5
2022,SFN,alvarjo02,2022-04-08,2022-06-11,21
2022,PHI,alvarjo03,2022-04-09,2022-10-03,59
2022,NYN,alvarrj01,2022-08-16,2022-08-16,1
2022,HOU,alvaryo01,2022-04-07,2022-10-05,135
2022,CHN,alzolad01,2022-09-17,2022-10-05,6
2022,MIA,anderbr06,2022-04-08,2022-10-04,98
2022,CIN,anderch01,2022-08-29,2022-10-05,9
2022,ATL,anderia01,2022-04-10,2022-08-13,22
2022,TOR,andersh01,2022-06-27,2022-06-27,1
2022,CHA,anderti01,2022-04-10,2022-08-06,79
2022,LAN,anderty01,2022-04-09,2022-10-02,31
2022,OAK,andruel01,2022-04-08,2022-08-16,106
2022,CHA,andruel01,2022-08-19,2022-10-05,43
2022,NYA,andujmi01,2022-04-29,2022-09-17,27
2022,PIT,andujmi01,2022-09-26,2022-10-05,9
